<==========  BEGIN @ 2025-03-22T20:18:02, C = 1, lambda_L = 1, lambda_D1 = 1, lambda_D2 = 1, thr = 0.3, beta = 10000 ===========>

******0.847724	0.777149 @ round=0, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.847724	0.777149 @ round=1, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.847724	0.777149 @ round=2, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.847724	0.777149 @ round=3, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.847724	0.777149 @ round=4, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.847724	0.777149 @ round=5, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.847724	0.777149 @ round=6, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.847724	0.777149 @ round=7, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.847724	0.777149 @ round=8, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.847724	0.777149 @ round=9, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

<==========  END @ 2025-03-22T20:22:24, C = 1, lambda_L = 1, lambda_D1 = 1, lambda_D2 = 1, thr = 0.3, beta = 10000 ===========>

<==========  BEGIN @ 2025-03-22T20:22:25, C = 1, lambda_L = 1, lambda_D1 = 1, lambda_D2 = 1, thr = 0.3, beta = 10000 ===========>

******0.869933	0.795255 @ round=0, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.879229	0.811759 @ round=1, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.872774	0.810211 @ round=2, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.850951	0.781846 @ round=3, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.883732	0.813822 @ round=4, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.89212	0.822589 @ round=5, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.859849	0.79835 @ round=6, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.861851	0.783909 @ round=7, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.881908	0.810211 @ round=8, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.880382	0.810211 @ round=9, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

<==========  END @ 2025-03-22T20:26:45, C = 1, lambda_L = 1, lambda_D1 = 1, lambda_D2 = 1, thr = 0.3, beta = 10000 ===========>

<==========  BEGIN @ 2025-03-22T20:26:45, C = 1, lambda_L = 1, lambda_D1 = 1, lambda_D2 = 1, thr = 0.3, beta = 10000 ===========>

******0.893159	0.826873 @ round=0, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.898802	0.830491 @ round=1, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.89692	0.823773 @ round=2, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.868915	0.810853 @ round=3, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.894508	0.827907 @ round=4, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.901227	0.835142 @ round=5, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.877327	0.808269 @ round=6, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.885246	0.808786 @ round=7, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.899752	0.826873 @ round=8, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

******0.881432	0.803618 @ round=9, C=1, lambda_L=1, lambda_D1=1, lambda_D2=1, thr=0.3

<==========  END @ 2025-03-22T20:30:49, C = 1, lambda_L = 1, lambda_D1 = 1, lambda_D2 = 1, thr = 0.3, beta = 10000 ===========>

<==========  BEGIN @ 2025-03-22T20:30:49, C = 1, lambda_L = 1, lambda_D1 = 1, lambda_D2 = 1, thr = 0.3, beta = 10000 ===========>

